Todos os resultados da Mega Sena | Rede Loteria,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2624,24/08/2023,5.0,31.0,37.0,47.0,52.0,58.0,0,,5963608
2623,22/08/2023,10.0,15.0,20.0,35.0,37.0,59.0,0,,4484720
2622,19/08/2023,9.0,19.0,22.0,24.0,50.0,60.0,1,4645727.41,8748398
2621,16/08/2023,6.0,9.0,14.0,16.0,42.0,47.0,2,1928029.09,7661367
2620,12/08/2023,4.0,6.0,13.0,21.0,26.0,28.0,4,29058128.28,32291748
2619,09/08/2023,5.0,36.0,39.0,41.0,44.0,50.0,0,,22134899
2618,05/08/2023,6.0,17.0,29.0,35.0,45.0,48.0,0,,20582381
2617,02/08/2023,3.0,14.0,36.0,42.0,43.0,44.0,0,,16335208
2616,29/07/2023,6.0,16.0,23.0,35.0,38.0,49.0,0,,14013711
2615,27/07/2023,5.0,7.0,22.0,23.0,41.0,59.0,0,,10619562
2614,25/07/2023,3.0,8.0,13.0,14.0,19.0,25.0,3,22746383.38,16215938
2613,22/07/2023,14.0,26.0,40.0,42.0,46.0,52.0,0,,19522568
2612,19/07/2023,20.0,27.0,34.0,44.0,50.0,54.0,0,,15734711
2611,15/07/2023,4.0,12.0,18.0,21.0,25.0,49.0,0,,15704630
2610,12/07/2023,10.0,23.0,34.0,53.0,55.0,57.0,0,,12841980
2609,08/07/2023,3.0,21.0,27.0,32.0,35.0,60.0,0,,10624164
2608,05/07/2023,7.0,13.0,17.0,24.0,29.0,52.0,0,,7226172
2607,01/07/2023,7.0,11.0,25.0,51.0,57.0,60.0,1,44355154.71,13711759
2606,29/06/2023,2.0,10.0,16.0,32.0,45.0,49.0,0,,9777136
2605,27/06/2023,5.0,11.0,26.0,35.0,46.0,54.0,0,,7392546
2604,24/06/2023,16.0,17.0,19.0,22.0,46.0,57.0,0,,8750223
2603,21/06/2023,3.0,7.0,13.0,29.0,52.0,56.0,0,,6710296
2602,17/06/2023,11.0,14.0,16.0,30.0,32.0,46.0,1,51774681.61,16963075
2601,14/06/2023,3.0,8.0,34.0,40.0,44.0,55.0,0,,13919264
2600,10/06/2023,4.0,18.0,37.0,38.0,46.0,60.0,0,,12812720
2599,07/06/2023,23.0,28.0,34.0,43.0,47.0,60.0,0,,7541815
2598,03/06/2023,7.0,14.0,24.0,53.0,58.0,60.0,1,66093916.13,20446008
2597,31/05/2023,14.0,26.0,34.0,54.0,56.0,58.0,0,,16681708
2596,27/05/2023,34.0,35.0,39.0,47.0,51.0,56.0,0,,15872374
2595,24/05/2023,1.0,13.0,34.0,39.0,50.0,52.0,0,,13054105
2594,20/05/2023,7.0,26.0,32.0,35.0,49.0,55.0,0,,11291327
2593,17/05/2023,10.0,14.0,17.0,25.0,32.0,39.0,0,,8599345
2592,13/05/2023,15.0,17.0,28.0,34.0,35.0,51.0,0,,7233654
2591,11/05/2023,10.0,11.0,21.0,23.0,28.0,30.0,1,43295767.4,12586452
